,name,rcode,code,total_amt,deliver_amt,area,technical,funds,message,trade,basic,total_num,point_num,dt
296,纳思达,002180.SZ,2180,23681362000,4511804900,半导体及元件,6.9,6.9,7.7,8,6.2,35.7,73,2018/4/9
297,大港股份,002077.SZ,2077,6407047600,4125768600,园区开发,6.9,6.2,6,8,4.4,31.5,73,2018/4/9
298,华孚色纺,002042.SZ,2042,11202431100,9263726000,纺织制造,3,3.9,5.5,6.4,6.5,25.3,73,2018/4/9
299,恺英网络,002517.SZ,2517,25076830000,8759106800,传媒,1.8,3.8,5.5,6,6.8,23.9,73,2018/4/9
300,中泰桥梁,002659.SZ,2659,8031914200,4841567200,建筑装饰,6.6,5.2,3.9,6,5.9,27.6,73,2018/4/9
301,首钢股份,000959.SZ,959,38877014000,21803967000,钢铁,4,6.3,5.9,4,6.2,26.4,73,2018/4/9
302,瑞康医药,002589.SZ,2589,22480374000,10401808200,医药商业,8.7,7.4,5.5,7.8,6.9,36.3,73,2018/4/9
303,华讯方舟,000687.SZ,687,10186605800,7147771100,通信设备,7.8,2.2,5.2,7.8,5.1,28.1,73,2018/4/9
304,中科新材,002290.SZ,2290,3630976500,2274933500,白色家电,3.2,5.2,6.9,5.8,4.9,26,73,2018/4/9
305,海航投资,000616.SZ,616,6507566600,6507498400,房地产开发,2.5,3.6,5.6,6.3,3.9,21.9,73,2018/4/9
306,达 意 隆,002209.SZ,2209,2694367900,2195752000,专用设备,6.2,5.1,5.8,7,5.1,29.2,73,2018/4/9
307,长江润发,002435.SZ,2435,8303943400,3108711800,专用设备,6.7,4.7,5.5,7,6.1,30,73,2018/4/9
308,珠江钢琴,002678.SZ,2678,11787480000,11761458500,家用轻工,2.7,6.7,5.5,6.2,5,26.1,73,2018/4/9
309,美利云,000815.SZ,815,8718598500,3972566700,造纸,6.6,3.4,5.7,6,3.7,25.4,73,2018/4/9
310,浙江众成,002522.SZ,2522,12816778300,8906688100,包装印刷,4.4,3.7,5.5,6.1,5.4,25.1,73,2018/4/9
311,韵达股份,002120.SZ,2120,51708936000,4139301100,物流,3.1,4.1,5.5,7.4,6.1,26.2,73,2018/4/9
312,沃华医药,002107.SZ,2107,4549133200,4399725800,中药,6.2,5.6,5,7.8,6.8,31.4,73,2018/4/9
313,宝利国际,300135.SZ,300135,4377600000,3383828400,基础化学,4,3.3,5.9,6,5.1,24.3,73,2018/4/9
314,黔源电力,002039.SZ,2039,4865000700,4864593200,电力,4.1,3.9,6.6,5.8,7.7,28.1,73,2018/4/9
315,金洲慈航,000587.SZ,587,17117420000,9286994100,家用轻工,8.6,6.7,5.5,6.2,5.3,32.3,73,2018/4/9
316,双塔食品,002481.SZ,2481,8161499400,7321554400,食品加工制造,4.8,3,6.1,7.2,4.5,25.6,73,2018/4/9
317,天奇股份,002009.SZ,2009,4857903100,3486787500,专用设备,4.8,2,6.1,7,6.1,26,73,2018/4/9
318,绿茵生态,002887.SZ,2887,5800000000,1450000000,建筑装饰,7.8,2.7,6.8,3,6.1,26.4,73,2018/4/9
319,荃银高科,300087.SZ,300087,4183343300,3421449300,种植业与林业,8,2.8,8.1,8.2,7.3,34.4,73,2018/4/9
320,经纬纺机,000666.SZ,666,16307651000,6797894600,保险及其他,7.4,4.6,6.4,5.5,5.8,29.7,73,2018/4/9
321,合肥城建,002208.SZ,2208,3719562000,3709558800,房地产开发,3.2,3.2,5,6.3,5.4,23.1,73,2018/4/9
322,广州浪奇,000523.SZ,523,5208524900,4439750000,化学制品,6.2,3.6,5.5,7.2,5,27.5,73,2018/4/9
323,必创科技,300667.SZ,300667,2261000000,565250000,仪器仪表,8.6,3,5.6,4.7,5.5,27.4,73,2018/4/9
324,双汇发展,000895.SZ,895,72161340000,72149646000,食品加工制造,4.4,7.1,6.1,7.2,5.9,30.7,73,2018/4/9
325,惠伦晶体,300460.SZ,300460,2601519100,1481666800,半导体及元件,7.8,4.3,4.4,4.5,4.8,25.8,73,2018/4/9
326,陕天然气,002267.SZ,2267,9574969600,9574969600,燃气水务,4.6,5.6,5.5,6.4,5.8,27.9,73,2018/4/9
327,世荣兆业,002016.SZ,2016,6974404300,5569344300,房地产开发,9,4.1,7.5,6.3,7.2,34.1,73,2018/4/9
