rcode	    名称	现价	总市值	流通市值	所属行业
603688	石英股份	12.32	4156004200	1489428900	新材料
600843	上工申贝	13.91	7630881300	4237623800	专用设备
600515	海航基础	12.74	49782728000	5386142500	房地产开发
600791	京能置业	10.77	4877517600	4871418500	房地产开发
600150	中国船舶	26.49	36506335000	36506335000	国防军工
002127	南极电商	14.05	21612546000	13602564000	通信服务
600838	上海九百	12.86	5155342300	5155342300	零售
603058	永吉股份	20.28	8549236800	855004800	包装印刷
002182	云海金属	11.38	7356288500	5129351000	新材料
300357	我武生物	42.8	6916480000	6032617800	生物制品
600268	国电南自	6.55	4160864100	4160864100	电气设备
601000	唐山港	5.74	26165254000	23051179000	港口航运
600962	国投中鲁	14.02	3676184200	3561360400	农产品加工
600759	洲际油气	4.97	11249632400	7856721700	石油矿业开采
300493	润欣科技	14.13	4239000000	2183297000	半导体及元件
002602	世纪华通	33.73	34643815000	19824596000	通信服务
002852	道道全	70.42	7042000000	1760500000	农产品加工
600370	三房巷	4.2	3348425800	3348425800	纺织制造
300137	先河环保	24.95	8592663800	7377781700	环保工程
603306	华懋科技	34.4	7358160000	2536914000	汽车零部件
600796	钱江生化	8.95	2697549200	2697549200	生物制品
002425	凯撒文化	9.38	7632922800	6389957900	服装家纺
002786	银宝山新	13.27	5059054800	1834444800	通用设备
603318	派思股份	13.7	5003925000	1454940000	专用设备
600335	国机汽车	13.31	13705797000	12520963700	交运设备服务
603088	宁波精达	38.72	3097600000	968000000	通用设备
600848	上海临港	22.4	25086192000	8949997700	园区开发
002695	煌上煌	22.93	11464016900	10396946500	食品加工制造
600020	中原高速	5.63	12652703400	12652703400	公路铁路运输
000019	深深宝Ａ	12.15	6035905000	5053969600	饮料制造
000688	建新矿业	10	11372993100	11372949900	有色冶炼加工
300449	汉邦高科	27	3868716600	2278401400	计算机设备
300680	隆盛科技	30.5	2074000000	518500000	通用设备
603177	德创环保	16.19	3270380000	817595000	环保工程
000429	粤高速Ａ	8.76	18315462000	4107439800	公路铁路运输
600613	神奇制药	10.97	5858765800	5258140200	中药
000069	华侨城Ａ	8.81	72292053000	53953757000	房地产开发
002532	新界泵业	8.37	4313871200	3206455000	通用设备
600379	宝光股份	11.51	2714728600	2714728600	电气设备
603305	旭升股份	42.6	17065560000	1772160000	汽车零部件
600684	珠江实业	7.1	6059571100	6059571100	房地产开发
300368	汇金股份	13.36	7352499300	3422111200	计算机设备
002616	长青集团	11.62	8634893400	5338309900	白色家电
002327	富安娜	8.5	7387948300	4068015700	服装家纺
600970	中材国际	8.53	14963820000	14357787000	建筑装饰
600198	大唐电信	15.8	13937314000	13749107000	通信设备
000881	中广核技	17.66	18641860000	5438645700	化工合成材料
002271	东方雨虹	35.82	31557331000	20207469000	建筑材料
600280	中央商场	7.71	8853661900	8853661900	零售
002084	海鸥卫浴	8.71	3974514300	3523680800	家用轻工
000021	深科技	8.75	12873519400	12860916800	计算机设备
600069	银鸽投资	9.22	11516729300	7609949600	造纸
601969	海南矿业	11.63	22733397000	9986332100	石油矿业开采
600743	华远地产	4.2	9853623700	9853623700	房地产开发
603660	苏州科达	39.37	9842500000	1968500000	计算机设备
002035	华帝股份	23.15	13467792000	11914295600	白色家电
600345	长江通信	20.8	4118400000	4118400000	通信设备
600649	城投控股	10.45	26434065000	25297279000	房地产开发
600433	冠豪高新	6.18	7856729400	7355930400	造纸
000011	深物业A	19.03	11341482100	3346665800	房地产开发
603936	博敏电子	26.72	4471592000	1498992000	半导体及元件
600302	标准股份	8.12	2809599600	2809599600	专用设备
600456	宝钛股份	21.27	9151751400	9151751400	有色冶炼加工
002028	思源电气	14.62	11114259700	8466218800	电气设备
002561	徐家汇	13.16	5471441100	5215976800	零售
000637	茂化实华	7.36	3826282600	2697403000	基础化学
600383	金地集团	11.56	52177583000	52177583000	房地产开发
000158	常山股份	11.07	18297326000	11235628800	纺织制造
600058	五矿发展	14.15	15167537000	15167537000	贸易
601888	中国国旅	29.4	57402781000	57402781000	景点及旅游
